Категория;Тип товара;Модель;Габариты;Цвет;Материал;Особенности;Стиль/Назначение;Цена (₽)
Текстиль;Подушка декоративная;Барселона;45×45 см;-;лён;геометрический принт;-;1300
Декор;Статуэтка;Венеция;35 см;золото;керамика;олень;-;3400
Освещение;Бра настольное;Тюльпан;-;-;латунь/стекло/LED;2 шт, LED, опал;-;3800
Прихожая;Обувница;Эконом;80×20×100 см;дуб молочный;ЛДСП;откидная;эконом;3400
Гостиная;Журнальный столик;Палаццо;110×60 см;-;мрамор/латунь;прямоугольный;-;38700
Кабинет;Стол письменный;Школьник;120×60 см;белый;ЛДСП;-;-;6800
Спальня;Тумба прикроватная;Аметист;50×40×60 см;белый/золото;МДФ;с патиной;-;13700
Гостиная;Стеллаж навесной;Орбита;100×25×60 см;дуб артизан;ЛДСП;в гостиную;-;3200
Декор;Ваза;Артемида;60 см;дымчатый серый;стекло выдувное;напольная, дизайнерская;-;6400
Прихожая;Обувница;Кокон;-;белая;ЛДСП/МДФ;4-секционная;-;4900
Гостиная;Кресло-мешок;Облако;140×100 см;графит;водоотталкивающая ткань;XXL;-;6700
Гостиная;Диван прямой;Гамма;220×95 см;серый;велюр/шенилл/рогожка;еврокнижка;-;42700
Детская;Шкаф;Эверест;160×55×210 см;графит/оранжевый;ЛДСП;для подростка, 4-дверный;детский;28700
Текстиль;Ковёр;Венеция;160×230 см;терракот;шерсть;узор медальон;-;22500
Кухня;Стол обеденный;Лофт;140×80 см;графит;дерево/металл;металлические ноги;лофт;16400
Спальня;Комод;Карина;80×40×110 см;венге;ЛДСП;5 ящиков;-;11200
Кухня;Модуль кухонный;Бергамо;60×60 см;белый матовый;ЛДСП/фурнитура;нижний, soft-close;-;9400
Декор;Часы настенные;Версаль;60×30 см;-;дерево/металл;с маятником;классика;5700
Декор;Шкатулка;Камелия;26×18×10 см;-;бархат/металл;бархат внутри, золотой ободок;-;3200
Декор;Подсвечник;Венеция;20×20×40 см;-;латунь/стекло;стеклянный фонарь;-;3200
Гостиная;Кресло традиционное;-;-;-;гобелен/дерево;флористика, ножки массив;-;26800
Прихожая;Зеркало напольное;Контур;D100 см;чёрный;металл/стекло;круглое, в раме;-;13700
Балкон;Табурет складной;-;30×30×45 см;-;бамбук;для балкона;-;1300
Ванная;Тумба под умывальник;Венето;70×45×85 см;дуб артизан/белый глянец;МДФ/дерево;напольная, с одной дверцей;-;13900
Прихожая;Зеркало;Камея;70×100 см;золото с патиной;дерево/стекло;настенное, барочное;классика;9400
Спальня;Кровать;Орхидея;160×200 см;дуб сонома;ЛДСП;подъёмный механизм;-;27500
Декор;Ваза;-;50 см;прозрачное;стекло;амфора, серия Лайт;-;2800
Спальня;Шкаф-купе;Лофт;100×100×220 см;графит/зеркало;ЛДСП/стекло;угловой;лофт;45700
Спальня;Шкаф-купе;Берлин;320×60×220 см;дуб сонома;ЛДСП/зеркало;4-дверный, с зеркалом;-;58400
Спальня;Комод;Стелла;90×40×95 см;ясень шимо;ЛДСП;3 ящика, распашная дверца;-;14600
Прихожая;Шкаф узкий;Альпы;45×30×200 см;белый матовый;ЛДСП/зеркало;1 дверь с зеркалом;-;12400
Ванная;Полотенцесушитель;Лазурь;50×80 см;-;латунь;декоративный, лесенка;-;7400
Гостиная;Диван-кровать;Айова;200×95 см;горчичная;рогожка/ЛДСП;еврокнижка;-;37400
Туризм;Стул складной;Турист;-;-;ткань/металл;мягкий, с подлокотниками, для дачи;-;2400
Гостиная;Шкаф книжный;Кембридж;200×40×220 см;орех;дерево/стекло;библиотечный, со стеклом;классика;98400
Спальня;Тумба прикроватная;Камелия;50×40×55 см;розовая пудра;МДФ;с одним ящиком;-;5200
Кухня;Шкафчик барный;Тоскана;70×25×70 см;орех патина;дерево/стекло;подвесной;классика;7800
Прихожая;Зеркало напольное;Версаль;60×180 см;золото с патиной;дерево/стекло;в багетной раме;классика;14700
Гостиная;Кресло-реклайнер;Адмирал;-;коричневая;натуральная кожа/металл;с подогревом;-;87400
Гостиная;Полка навесная;Орбита;80×25 см;дуб артизан;ЛДСП;-;-;1900
Детская;Кровать-чердак;Аметист;90×200 см;графит/жёлтый;ЛДСП/металл/LED;с подсветкой и USB;детский;39700
Прихожая;Зеркало напольное;Парус;50×170 см;венге;дерево/стекло;в раме;-;9700
Гостиная;Тумба под ТВ;Лофт;140 см;венге;ЛДСП/металл;металлический каркас;лофт;11800
Гостиная;Диван-канапе;Барселона;2-местный;графит;велюр/дерево;классический, ножки гнутые;классика;52800
Ванная;Набор для ванной;Венето;-;белая/латунь;керамика/латунь;стакан и дозатор, 4 предмета;-;2700
Освещение;Светильник потолочный;-;-;чёрный;металл;4 спота, поворотные;-;3700
Прихожая;Зеркало напольное;Орбита;D90 см;-;металл латунь/стекло;круглое, рама матовая;-;16400
Гостиная;Кресло-реклайнер;Орхидея;-;изумрудный;велюр/дуб/ясень/рогожка;с регулировкой и подножкой;-;38400
Гостиная;Витрина-горка;Орхидея;120×45×220 см;-;дерево/стекло;классика, патина с золотом;классика;94600
Прихожая;Вешалка;Берлин;80×190 см;дуб сонома;ЛДСП/зеркало;с зеркалом и обувницей;-;13800
Детская;Кровать;Феникс;90×200 см;оранжевый/графит;ЛДСП;односпальная, для подростка;детский;18700
Спальня;Шкаф;Венеция;150×55×210 см;бук бавария;ЛДСП;3-створчатый, распашной;-;38600
Декор;Часы настенные;Камея;D40 см;-;металл;круглые, римские цифры;-;2300
Прихожая;Ключница;Норвегия;30×7×35 см;белый матовый;МДФ/зеркало;закрытая, с зеркалом и 6 крючками;-;2400
Гостиная;Комод-консоль;Венеция;120×35×80 см;орех;дерево;классика;классика;18900
Спальня;Кровать;Бостон;140×200 см;коричневая;экокожа/ЛДСП;с прострочкой;-;28700
Освещение;Светильник настенный;Минск;-;графит/опал;металл/стекло;бра 1-рожковый;-;3200
Ванная;Зеркало;Адриатика;80×60 см;-;стекло/LED/металл;для ванной, сенсор, антипар;-;9700
Гостиная;Стол консольный;Палермо;100×30×80 см;-;мрамор/бронза;мрамор/металл бронза;-;12900
Гостиная;Журнальный стол;Манхэттен;100×60×45 см;дуб артизан/чёрный;ЛДСП/металл;-;-;9700
Гостиная;Пуф;-;40×40 см;белая;экокожа/ЛДСП;с откидной крышкой, хранение;-;3800
Освещение;Бра-софит;Орбита;-;белый матовый;металл/LED;направленный LED, поворотный;-;2400
Спальня;Шкаф;Самара;90×55×210 см;дуб сонома;ЛДСП/зеркало;2-створчатый, с зеркалом;-;19400
Текстиль;Ковёр;-;200×290 см;бежевый;шерсть;классический;-;28700
Ванная;Шкаф пенал;-;30×25×170 см;белый глянец;МДФ;узкий, открытые полки;-;5900
Освещение;Бра;Тюльпан;-;-;медь/стекло;серия, 2 шт в комплекте;-;5700
Офис;Стойка ресепшен;Гранд;240×80×110 см;-;шпон ореха/латунь;классика, латунная отделка;классика;187400
Спальня;Гардеробная система;Конструктор;240×50×220 см;дуб артизан;ЛДСП/металл;модульная;-;38900
Декор;Картина;Глория;80×100 см;-;холст/багет;Поле маков;-;5600
Освещение;Светильник подвесной;Эдисон;-;медь;металл;3 лампы на цепи;лофт;4800
Кухня;Стол кухонный;-;90×60 см;белый;ЛДСП/металл;складной, эконом;эконом;5400
Прихожая;Банкетка;Норвегия;90×35×45 см;белая;экокожа/ЛДСП;в прихожую, с откидным сиденьем;-;6900
Декор;Постер;Лофт;40×50 см;чёрный;бумага/дерево;графический принт, в раме;-;1400
Текстиль;Шторы;Камея;2×150×270 см;бордо;бархат;готовые, с подхватами;-;9400
Спальня;Туалетный столик;Венеция;-;-;бук бавария;классический, с пуфом;классика;22500
Кухня;Стул барный;Лион;-;натуральный;массив бука;сиденье круглое D35, лак;-;4500
Текстиль;Подушка декоративная;Венеция;45×45 см;изумрудный;бархат;-;-;1400
Гостиная;Кресло Lounge;Палаццо;-;сапфировый;велюр/металл;с подушкой-валиком;-;31700
Гостиница;Гарнитур гостиничный;Премиум;160×200 см;-;дерево/ЛДСП;кровать + 2 тумбы + комод;гостиничный;87900
Ванная;Стеллаж навесной;Капри;60×20×80 см;-;бамбук/металл;для ванной;-;3700
Гостиная;Диван модульный;Дакота;4-секционный;беж;велюр/ЛДСП;секционный;-;78900
Гостиная;Шкаф книжный;Венеция;100×40×200 см;орех;дерево/стекло;со стеклянными дверцами;-;28700
Гостиная;Стеллаж-перегородка;Сканди;100×30×200 см;ясень светлый;ЛДСП/дерево;двусторонний, 5 полок;скандинавский;9700
Спальня;Кровать;Лагуна;140×200 см;белая;экокожа/ЛДСП;подъёмный механизм;-;33700
Ванная;Тумба под умывальник;Лагуна;120×45×55 см;белый глянец/серый;МДФ;двойная;-;32700
Декор;Фоторамка;Прованс;20×30 см;белая с патиной;дерево/МДФ;одинарная;классика;890
Спальня;Кровать;Орлеан;180×200 см;орех патина;дерево/ЛДСП;с тумбами в изголовье, бра в комплекте;классика;72800
Декор;Корзина-органайзер;Флоренция;40×25×20 см;-;джут;плетёная, с ручками;-;1800
Спальня;Кровать водяная;Камелия;160×200 см;пыльно-розовая;экокожа/ЛДСП;с подогревом;-;82900
Прихожая;Зеркало;Барокко;60×90 см;золочёный;дерево/стекло;настенное, рама с лепниной;классика;14700
Прихожая;Прихожая модульная;Атриум;220×35×210 см;дуб сонома/графит;ЛДСП;-;-;36800
Гостиная;Кресло-бергер;Шартрез;-;коньячная;кожа/дерево;с пуфом, ножки массив;классика;68900
Кухня;Стол кухонный;-;120×70 см;дуб сонома;ЛДСП/металл;регулируемые ножки;-;7400
Освещение;Гирлянда интерьерная;Метелица;5 м;тёплый белый;LED;USB;-;1300
Гостиная;Журнальный столик;Тоскана;120×60 см;-;дуб состаренный;овальный, из массива;-;28900
Спальня;Кровать;Прага;180×200 см;-;экокожа/ЛДСП;двуспальная, ортопедическое основание;-;42400
Гостиная;Кресло Lounge;Прованс;-;цветочный принт;ткань/дерево;состаренный, с подушкой, ножки гнутые;классика;31400
Гостиная;Кресло-кокон;Эверест;-;белый;искусственный ротанг/металл;подвесное, с подушкой;-;19800
Освещение;Люстра потолочная;Венеция;-;-;хрусталь/металл;5-рожковая;классика;14800
Декор;Постер;-;30×40 см;-;бумага/дерево;типографика Hej, комплект 3 шт;-;2400
Спальня;Шкаф распашной;Классик;200×60×220 см;орех итальянский;ЛДСП;4-дверный;классика;52300
Текстиль;Шторы;Берлин;2×145×260 см;песочный;лён;готовые;-;6900
Спальня;Кровать-татами;Киото;160×200 см;ясень светлый;дерево;низкая, на ножках;японский;41800
Декор;Шкатулка;Малахит;25×18×12 см;-;дерево;с инкрустацией;-;3400
Кухня;Пенал кухонный;Бергамо;60×60×220 см;белый/дуб артизан;ЛДСП/МДФ;с микроволновой;-;21900
Спальня;Шкаф-купе;-;240×60×220 см;дуб сонома;ЛДСП/зеркало;3-дверный;-;4990
Кухня;Стул;Карина;-;орех;дерево/лак;деревянный, лак;-;2400
Гостиная;Диван секционный;Челси;350×180 см;серо-синий;шенилл/ЛДСП;угловой, 5 мест;-;94600
Прихожая;Ключница;Атриум;-;дуб сонома;ЛДСП/металл;настенная, с крючками и полкой;-;1700
Текстиль;Подушка декоративная;Камея;45×45 см;бордо;бархат;с кисточками;-;1500
Кухня;Стул-стремянка;-;-;-;металл/дерево;трансформер для кухни;-;3700
Гостиная;Кресло;Тоскана;-;бежевая;рогожка/бук;каминное, с ушами, ножки бук;-;21700
Гостиная;Кресло-качалка;Бабушка;-;-;ивовая лоза;классическое;-;14800
Ванная;Тумба под умывальник;Капри;100×45×60 см;дуб артизан/белый;ЛДСП/МДФ;с двумя ящиками;-;24400
Кухня;Кухонный уголок;Прага;-;коричневая;экокожа/ЛДСП;с ящиками;-;17900
Спальня;Кровать водяная;Океан;180×200 см;-;ЛДСП/экокожа;двуспальная, две зоны подогрева;премиум;94800
Спальня;Кровать;Прима;140×200 см;дуб сонома;ЛДСП;с ящиком, эконом;эконом;18900
Текстиль;Покрывало;Тоскана;220×240 см;песочный;лён/жаккард;жаккард;-;6200
Спальня;Шкаф;Милан;150×55×210 см;венге;ЛДСП;3-створчатый, распашной;-;33700
Текстиль;Плед;-;150×200 см;белый;эко-мех;меховой;-;2900
Прихожая;Зеркало напольное;Эра;60×180 см;-;бук бавария/стекло;классическое, резная рама;классика;17400
Детская;Комод;Малыш;80×40×80 см;пастельные тона;ЛДСП;детский, 3 ящика;детский;9700
Ванная;Тумба под раковину;Аква;80×45×80 см;дуб артизан/белый;ЛДСП/МДФ;напольная;-;15600
Спальня;Кровать;Аврора;200×200 см;пудровый;велюр/ЛДСП;мягкое изголовье капитоне;-;47200
Гостиная;Журнальный столик;Скандинав;110×55 см;-;массив дуба;овальная столешница;скандинавский;26800
Освещение;Люстра потолочная;Барселона;-;-;латунь/стекло;8 рожков, опаловое стекло;-;26900
Текстиль;Плед;Кокон;150×200 см;серый;микрофибра;-;-;1900
Кухня;Модуль верхний;-;80×30×72 см;белый матовый;ЛДСП/металл;сушка для посуды;-;7200
Декор;Картина модульная;-;150×60 см;-;холст/багет;5 частей, Закат над морем;-;5700
Гостиная;Кресло;-;-;пыльно-розовый;бархат/металл;с подушкой-валиком, серия Лайт;-;22400
Ванная;Тумба под раковину;-;80×45×55 см;белый/дерево;МДФ/дерево;с двумя ящиками, серия Стандарт;-;12400
Кабинет;Кресло офисное;Лофт;-;серая;ткань/металл;эконом;эконом;4800
Гостиная;Кресло Lounge;Орхидея;-;пудровый;бархат/латунь;полукруглое, ножки латунь;-;26400
Спальня;Кровать-бокс;Премьер;180×200 см;молочная;рогожка/ЛДСП;с двойным основанием;-;58700
Гостиница;Стол рабочий;-;120×60 см;дуб артизан;ЛДСП/металл;гостиничный, с ящиком и розеткой;гостиничный;12700
Гостиная;Стеллаж;Самара;80×35×190 см;ясень шимо тёмный;ЛДСП;6-ярусный;-;7900
Гостиная;Стол журнальный;Палермо;90×50×45 см;-;мрамор/бронза;прямоугольный, мрамор/металл;-;12900
Декор;Триптих;Модерн;3×40×60 см;-;холст/металл;абстракция, металлический багет;-;6300
Декор;Кашпо;Венеция;25×25×35 см;белое;керамика/металл;с подставкой металл;-;2800
Освещение;Светильник подвесной;Лофт;-;медь;металл;Эдисона, 3 плафона;лофт;6800
Гостиная;Стеллаж для книг;Конструктор;80×30×190 см;бук;дерево;секционный;-;7400
Гостиная;Банкетка;Тоскана;170×40×45 см;песочный;лён/бук;ножки бук натуральный;-;13400
Кухня;Шкаф верхний;Бергамо;60×30×72 см;белый матовый;ЛДСП/МДФ;сушка;-;6800
Гостиная;Банкетка;Орхидея;200×40×50 см;изумрудный;бархат/металл;ножки золото;-;19800
Спальня;Туалетный столик;Ариэль;100×40×140 см;чёрный матовый;МДФ/стекло/LED;с зеркалом и подсветкой LED;-;22800
Гостиная;Диван-канапе;Кушетка;180×80 см;пудровый;велюр/дерево;односпальный, ножки массив;-;26400
Спальня;Шкаф-купе;Берлин;240×60×220 см;дуб сонома;ЛДСП/зеркало;3-дверный, с зеркалом;-;47990
Гостиная;Шкаф книжный;Оксфорд;240×40×220 см;-;массив дуба;библиотечный;классика;124700
Гостиная;Шкаф-витрина;Камея;100×40×200 см;белый патина/золото;дерево/стекло;классика;классика;46700
Кабинет;Подставка под монитор;Бюрократ;-;чёрная;металл/ABS;регулируемая;-;1800
Декор;Подставка для цветов;Флоренция;-;белый;металл;настенная-полка, 4 кашпо;-;2700
Гостиная;Кресло-качалка;Глен;-;-;массив бука/ткань;с подушкой, классика, лак;классика;19800
Гостиная;Столик кофейный;Кокон;D60 см;-;велюр/ЛДСП;круглый, велюр-пуф основание;-;7200
Спальня;Кровать водяная;Атлантика;180×200 см;-;ЛДСП/экокожа;двуспальная, термостат, подушки-валики;премиум;96700
Кухня;Домашний бар;Тоскана;80×45×190 см;дуб артизан;ЛДСП/стекло/LED;шкаф-купе, подсветка LED;-;36900
Гостиная;Журнальный столик;-;80×50 см;дуб сонома;ЛДСП;-;-;5400
Текстиль;Подушка декоративная;Прага;45×45 см;беж;ткань;с вышивкой;-;1200
Гостиная;Шкаф книжный;Британика;320×40×240 см;-;массив бука;с лестницей, библиотечный;классика;187900
Спальня;Кровать;Стокгольм;90×200 см;дуб артизан;ЛДСП/дерево;односпальная, с ящиками;скандинавский;17800
Кухня;Пенал кухонный;Бергамо-Plus;60×60×220 см;белый/орех;ЛДСП/МДФ;с холодильником встраиваемым;-;67800
Кабинет;Стол письменный;Премиум;160×80 см;орех/латунь;дерево/металл;с тумбой 3 ящика;-;48700
Спальня;Шкаф;Турин;150×55×210 см;орех итальянский;ЛДСП;для одежды, 3-створчатый;-;38900
Спальня;Тумба прикроватная;Эра;50×40×60 см;орех;дерево/МДФ;классическая, с резьбой;классика;9700
Декор;Пирамида декоративная;Тоскана;15×15×40 см;-;дерево/латунь;набор 3 шт;-;2700
Декор;Картина модульная;Адриатика;3×50×70 см;-;холст/багет;Морской бриз;-;5400
Освещение;Светильник настольный;Хюгге;30 см;бежевая;керамика/ткань;с тканевым абажуром;-;1900
Декор;Скульптура;Аполлон;40 см;белый;искусственный мрамор;бюст;-;5700
Детская;Кровать;Орхидея;90×180 см;белая/золото;ЛДСП/ткань;детская, с балдахином и короной;детский;28400
Балкон;Стул складной;Веранда;-;антрацит;металл/текстилен;с подлокотниками;-;3200
Кухня;Барная стойка;Турин;200×40×105 см;дуб артизан/чёрный;ЛДСП/металл;прямая, с двумя полками;-;38900
Текстиль;Покрывало;Тоскана;220×240 см;песочный;лён;стёганое, евро;-;5800
Текстиль;Подушка декоративная;Скандинавия;40×40 см;-;хлопок;графический принт;-;990
Ванная;Шкаф-пенал;Лазурь;30×25×170 см;белый/дерево;МДФ;подвесной, реверсивные дверцы;-;9800
Освещение;Бра настенное;Прага;-;-;латунь/стекло;классическое, рожок;классика;3200
Текстиль;Подушка декоративная;Кокон;45×45 см;пыльно-розовый;велюр;-;-;1100
Балкон;Шкаф;Патио;80×40×190 см;дуб артизан;ЛДСП;для лоджии, с ящиками для инструмента;-;14800
Гостиная;Сервант;Палаццо;160×45×190 см;орех/золото;дерево/стекло;с подсветкой, гравированное стекло;классика;78400
Спальня;Кровать;Эрмитаж;180×200 см;-;массив дуба;с инкрустацией, ручная работа;премиум;1289000
Декор;Зеркало;Нарцисс;70×100 см;золочёный;дерево/стекло;art, неправильной формы, лепнина;классика;28700
Гостиная;Стеллаж модульный;Конструктор;-;белый;ЛДСП;6 кубов, горизонтально/вертикально;-;6400
Детская;Парта детская;Авангард;-;бук/розовый;дерево/металл;с пеналом и стулом;детский;14800
Спальня;Тумбочка прикроватная;Венеция;50×40×55 см;белый/золото;МДФ/дерево;классика;классика;7800
Детская;Балдахин;-;-;кремовый;тюль/металл;детский подвесной, с короной;детский;3900
Декор;Статуэтка;Флоренция;45×15×35 см;бронза;металл;лошадь;классика;5700
Спальня;Кровать;Виктория;140×200 см;шампань;велюр/ЛДСП;с мягким изголовьем-волной;-;33700
Гостиная;Сервант;Версаль;180×45×195 см;орех патина;дерево/стекло;с подсветкой, стекло с гравировкой;классика;79800
Гостиная;Кресло Lounge;Натура;-;-;массив дуба/кожа;классическое, с кожаной подушкой;классика;38700
Прихожая;Калошница;Прихожая;80×30×100 см;белый матовый;ЛДСП/МДФ;с откидной полкой;-;4700
Спальня;Шкаф-купе;Модерн;180×60×220 см;белый глянец;ЛДСП/зеркало;с зеркальной вставкой;-;39800
Ванная;Тумба под раковину;Полярная;60×45×60 см;белый глянец;МДФ;с одним ящиком;-;9700
Кухня;Полка винная;Венеция;-;-;латунь/металл;подвесная, с держателем бокалов;-;4700
Балкон;Стул складной;-;-;серый;текстилен/металл;с подлокотниками;-;3400
Гостиная;Журнальный столик;Конструктор;-;венге;ЛДСП/металл;трансформер;-;12300
Прихожая;Зеркало;Аделина;60×80 см;белая;МДФ/LED/дерево;с подсветкой LED;-;7400
Кухня;Модуль нижний;-;60×60 см;белый матовый;ЛДСП/фурнитура;с выдвижными ящиками, серия Стандарт;-;9800
Гостиная;Диван угловой;Стелла;-;карамель;рогожка/ЛДСП;с ящиком для белья;-;46700
Гостиная;Сервант;Флоренция;200×45×220 см;патина золото;дерево/стекло/LED;с подсветкой LED и баром;классика;124700
Декор;Постер интерьерный;Минимализм;50×70 см;-;бумага/дерево;геометрия, рама белая;-;1700
Освещение;Бра настенное;Тюльпан;-;-;латунь/LED;LED, гибкий рожок;-;3600
Спальня;Кровать;Меридиан;160×200 см;ясень шимо/белый матовый;ЛДСП/дерево;с тумбами в изголовье;-;39800
Кабинет;Лампа на струбцине;Лофт;-;чёрный;металл;офисная;лофт;2400
Текстиль;Плед двусторонний;-;150×200 см;графит/молочный;микрофибра/искусственный мех;-;-;3400
Гостиная;Витрина;Корсика;100×40×220 см;чёрный глянец;ЛДСП/стекло/зеркало;с подсветкой и зеркальной задней стенкой;-;72800
Спальня;Кровать-бокс;Альфа;160×200 см;карамель;рогожка/ЛДСП;с боковыми ящиками;-;48900
Гостиная;Стеллаж напольный;-;70×35×140 см;-;металл/дуб;4 уровня;-;5700
Текстиль;Подушка декоративная;Премиум;50×50 см;-;бархат/нить;с золотой вышивкой;-;47000
Спальня;Кровать-татами;Окинава;180×200 см;дуб артизан;дерево/ЛДСП;с встроенными тумбами;-;48400
Детская;Люстра;Кокон;-;белый;пластик/LED;в детскую, облако с подсветкой;детский;4200
Гостиная;Диван-канапе;Орхидея;2-местный;-;гобелен/дерево;антикварный, флористика, резные ножки;классика;58700
Гостиная;Кресло-мешок;Биг;XL;серая;ткань;-;-;3700
Кухня;Барная стойка;Палермо;180×180×110 см;белый глянец/орех;ЛДСП/МДФ/стекло;угловая, с винным шкафом;-;94800
Гостиная;Журнальный столик;Прованс;80×50 см;белый состаренный;дерево/МДФ;классика;классика;14400
Декор;Зеркало;Венеция;50×70 см;белый;МДФ/стекло;с фоторамкой, коллаж 6 фото;-;3400
Ванная;Корзина для белья;Сиена;35×35×55 см;белый;искусственный ротанг;в ванную;-;3200
Гостиная;Стеллаж;Лофт;90×35×180 см;-;металл/дерево;5 полок;лофт;9700
Ванная;Тумба для ванной;Лазурь;100×45×60 см;серый шёлк;МДФ;с двумя ящиками;-;19400
Кухня;Кофейный столик;Беларус;80×50×45 см;чёрный/белый;металл/мрамор;-;-;8700
Гостиная;Стеллаж модульный;Конструктор;240×30×220 см;дуб артизан;ЛДСП;стеновой, из 18 кубов;-;36700
Гостиная;Стеллаж-перегородка;Кокон;-;дуб сонома;ЛДСП;5 ячеек;-;6800
Гостиная;Кресло-папасан;Бали;D110 см;бежевый;ротанг/велюр;натуральный ротанг;-;18700
Спальня;Шкаф-купе;Стокгольм;180×60×220 см;дуб артизан;ЛДСП/зеркало;2-дверный;скандинавский;41200
Гостиная;Диван-канапе;Палаццо;1.5-местный;сапфировый;бархат/металл;ножки золото;классика;42400
Гостиная;Журнальный столик;Версаль;D90 см;белый/латунь;мрамор/латунь;овальный;классика;38400
Спальня;Кровать-бокс;Лазурь;140×200 см;графит;велюр/ЛДСП;подъёмное основание;-;42700
Декор;Часы настенные;Венеция;D45 см;бронза;металл;римские, декоративные;-;3200
Гостиная;Стеллаж-витрина;-;80×40×200 см;орех/золото;дерево/стекло;стеклянные дверцы;классика;38700
Спальня;Кровать;Карина;160×200 см;бежевая;рогожка/ЛДСП;с декоративной строчкой;-;34500
Освещение;Бра;Лофт;-;чёрный;металл;поворотное, E27;лофт;1900
Декор;Картина-абстракция;Хаос;100×100 см;-;акрил/холст;без рамы, дизайнерская;-;9800
Кабинет;Кресло-кокон;Гранд;-;графит;рогожка/металл;для учёбы, поворотное, эргономика;-;18700
Спальня;Кровать;Бордо;140×200 см;чёрный матовый;металл;кованая, кованый узор, ретро;-;38900
Декор;Поднос декоративный;Флоренция;D40 см;-;дерево/латунь;круглый;классика;2900
Гостиная;Кофейный столик;-;D70 см;-;мрамор/латунь;круглый, серия Лайт;-;28400
Детская;Кресло мягкое;Зефир;-;розовый;велюр/ЛДСП;детское, с пуфом, серия мини;детский;14700
Гостиная;Диван угловой;Стокгольм;280×170 см;серая;рогожка/ЛДСП;левый угол;скандинавский;52400
Гостиная;Стенка-горка;Венеция;320 см;ясень шимо тёмный/светлый;ЛДСП/стекло;в гостиную;-;48700
Балкон;Стол складной;Веранда;D60 см;коричневый;искусственный ротанг;круглый;-;4200
Кухня;Диван кухонный;Карина;150×120 см;серая;рогожка/ЛДСП;угловой;-;15400
Гостиная;Журнальный столик;-;110×60 см;-;массив дуба;овальный, без серии;-;19400
Текстиль;Плед;Иней;180×220 см;серебристо-серый;микроплюш;-;-;3100
Прихожая;Шкаф узкий;Норвегия;50×35×210 см;дуб артизан;ЛДСП/зеркало;с зеркалом;-;14700
Гостиная;Кресло;Стелла;-;изумрудный;велюр/дерево;каминное, высокая спинка;-;24600
Гостиная;Шкаф-горка;Тоскана;280 см;состаренный белый;массив сосны;-;классика;52400
Декор;Шкатулка;Версаль;32×22×14 см;золото;МДФ/зеркало;с патиной и зеркалом внутри;классика;5400
Ванная;Тумба под умывальник;Полярная;70×45×55 см;белый глянец;МДФ/фурнитура;подвесная, soft-close;-;14700
Спальня;Кровать;Аделина;160×200 см;тёмно-серый;экокожа/ЛДСП;двуспальная, подъёмный механизм;-;38900
Кухня;Стул;Берлин;-;графит;велюр/металл;с мягкой спинкой;-;2900
Спальня;Кровать;Норд;160×200 см;ясень светлый;дерево/ЛДСП;двуспальная;скандинавский;39600
Кухня;Стул;Дельта;-;-;бук/пластик/металл;обеденный, лак;-;3700
Детская;Парта-трансформер;Эра;-;голубой;ЛДСП/металл;с пеналом и стулом;детский;17400
Освещение;Лампа настольная;-;-;белая;LED/пластик;LED;-;18900
Текстиль;Покрывало плед;Хюгге;130×170 см;молочный;трикотаж;крупная вязка;-;1900
Кабинет;Шкаф картотечный;Архив;-;серый;металл;2 секции, ключ;-;18900
Гостиная;Диван угловой;Малибу;-;серый;рогожка/ЛДСП;еврокнижка;-;49900
Гостиная;Кресло-кокон;-;-;белый;искусственный ротанг/металл;подвесное, с подушками;-;19800
Текстиль;Подушка декоративная;Прованс;45×45 см;бежевая;лён;с вышивкой;-;1400
Гостиная;Тумба под ТВ;Меридиан;200×40×45 см;светлый дуб;ЛДСП/шпон;светлый дуб, фасады шпон;-;24800
Кухня;Бар-витрина;Венеция;100×40×180 см;чёрный/латунь;ЛДСП/стекло/зеркало;с зеркальной задней стенкой;-;42400
Прихожая;Банкетка;Прага;90×35×45 см;серая;рогожка/ЛДСП;в прихожую;-;5400
Декор;Подсвечник;Венеция;30 см;цветной;стекло Murano;дизайнерский;-;6700
Гостиная;Диван-кровать;Айова;200×95 см;тёмно-синяя;рогожка/ЛДСП;еврокнижка;-;37400
Детская;Шкаф;Зефир;90×50×190 см;розовый/белый;ЛДСП;для одежды, детский;детский;18400
Декор;Картина;Натура;60×80 см;-;холст/багет;Северный лес;-;3700
Прихожая;Зеркало напольное;Бергамо;55×170 см;-;шпон ореха/стекло;в раме шпон ореха;-;11400
Детская;Стол письменный;Авангард;-;белый/мята;ЛДСП/металл;детский растущий, регулируемая столешница;детский;13800
Спальня;Зеркало-трюмо;Орхидея;80×40×155 см;белый/розовое золото;МДФ/стекло;классическое, с пуфом;-;26700
Гостиная;Витрина-горка;Кремона;70×70×210 см;светлый ясень/стекло;дерево/стекло;угловая, гранёное стекло;-;54200
Спальня;Комод;Венеция;100×50×90 см;белый/золото;МДФ/дерево;4-ящичный;классика;28400
Спальня;Шкаф-купе;Стокгольм;160×60×220 см;дуб артизан;ЛДСП/зеркало;2-дверный;скандинавский;36900
Гостиная;Журнальный столик;Натура;100×55 см;-;массив бука;со скруглёнными углами;-;18900
Кабинет;Кресло;Эпсилон;-;чёрный;сетка/ткань/кожа/экокожа;офисное;-;14800
